"FARM","year","Plot","Size","TYPE_clean","plantID","totalBasal","AGM_kg"
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_210",86.1343024205328,8.6466119572559
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_211",75.1208995946594,7.81345208029119
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_212",99.783265863319,9.64176766746999
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_213",4.72393433338663,1.00703357869334
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_217",45.2734131910662,5.36997199619703
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_218",30.6800869966109,4.02550626981486
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_219",7.42570401547385,1.40774116812543
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_221",65.4778594842819,7.05755199470332
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_222",24.5710244622565,3.41508870549107
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_223",14.5762830543096,2.31980422082893
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_224",37.2403607758371,4.64672957374294
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_225",75.4867380591699,7.84161524155892
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_226",80.6386358517918,8.23455989222642
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_227",36.3023597492915,4.55976303761323
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_228",27.5190950083852,3.71404848526589
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_229",2.45468341988239,0.620133479568034
"UTUA18",2022,"Plot 1","10x10","Co","UTUA18_22_230",112.463126512289,10.5349538744065
"UTUA18",2023,"Plot 2","30x30","Co","UTUA18_23_142",49.7863895777643,5.76148790010156
"UTUA18",2023,"Plot 2","30x30","Co","UTUA18_23_143",74.657063074311,7.77769357273619
"UTUA18",2023,"Plot 2","30x30","Co","UTUA18_23_149",10.4440676972266,1.8122971309705
"UTUA18",2023,"Plot 2","30x30","Co","UTUA18_23_154",109.900607924572,10.3566473718031
"UTUA2",2022,"Plot 1","10x10","Co","UTUA2_22_1",1.10214924269564,0.342718670457432
"UTUA2",2022,"Plot 1","10x10","Co","UTUA2_22_10",0.785398163397448,0.266660129315032
"UTUA2",2022,"Plot 1","10x10","Co","UTUA2_22_11",0.470374960058732,0.182417579869647
"UTUA2",2022,"Plot 1","10x10","Co","UTUA2_22_12",22.5832602505139,3.20825518169074
