"FARM","year","Plot","Size","plantID","TYPE","DBH_cm","basalA","gpsID","Notes","TYPE_clean"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.9,2.83528736986479,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.8,2.54469004940773,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",2.1,3.46360590058275,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.5,1.76714586764426,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1524","Co",1.195,1.12156821228564,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.05,0.865901475145687,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.03,0.833228911548353,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.18,1.09358840271461,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",2.4,4.5238934211693,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",2.19,3.7668481314705,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.18,1.09358840271461,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",2.07,3.36535259034173,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.68,2.21670777637296,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",0.92,0.6647610054996,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.06,0.882473376393373,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.18,1.09358840271461,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.06,0.882473376393373,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.19,1.11220233918713,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",2.09,3.43069771753639,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",0.99,0.769768739945839,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.11,0.967689077121996,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.28,1.28679635091038,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.84,2.6590440219984,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",0.75,0.441786466911065,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.55,1.88691908756237,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",0.84,0.55417694409324,NA,"Robusta","Co"
"ADJU7",2023,"Plot 5","10x10","ADJU7_23_1525","Co",1.84,2.6590440219984,NA,"Robusta","Co"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",5.65,25.071872871055,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",3.23,8.19398049890924,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",4.38,15.067392525882,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",3.17,7.89238760416462,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",3.52,9.73139740375974,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",3.46,9.40247265292889,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",3.02,7.16314540945009,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",2,3.14159265358979,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",2.32,4.22732707467043,301,"Inga Vera","In"
"ADJU8",2023,"Plot 2","both","ADJU8_23_301","In",2.22,3.87075630848798,301,"Inga Vera","In"
